PROPERTYZIP.x,emmean,SE,df,lower.CL,upper.CL,adjusted_price,lower_ci,upper_ci
15201,631.113196751524,28.0086231334714,130031,576.216793162456,686.009600340592,398303.867113928,332025.792722425,470609.171759459
15202,532.001390387872,27.9765178318774,130031,477.167912619372,586.834868156372,283025.479374629,227689.216833528,344375.162484106
15203,617.34813095757,28.0223365939331,130031,562.424849229705,672.271412685436,381118.714796806,316321.711031056,451948.852314072
15204,458.86226344598,28.0269646856529,130031,403.929910740592,513.794616151369,210554.576814768,163159.372790902,263984.907586132
15205,518.420682910838,27.980504937143,130031,463.579390486874,573.261975334802,268760.004469739,214905.851284181,328629.292364759
15206,600.375928519675,27.9953475686738,130031,545.505544801685,655.246312237665,360451.255545862,297576.299409383,429347.72970106
15207,515.020838479576,28.012362734844,130031,460.117105338276,569.924571620876,265246.464068206,211707.750624874,324814.017337239
15208,592.678287648885,28.0766349500799,130031,537.64858210793,647.70799318984,351267.552650414,289065.997842667,419525.64444201
15209,531.889292807982,28.0006365861906,130031,477.008542709652,586.770042906311,282906.219803775,227537.149817986,344299.083252274
15210,463.170269787112,27.9827033865529,130031,408.324668441374,518.01587113285,214526.698814666,166729.034857758,268340.442745525
15211,572.100968062568,28.0073470762706,130031,517.207065522937,626.9948706022,327299.517658128,267503.148626847,393122.567761469
15212,520.551882652951,27.9817431944643,130031,465.708163266642,575.395602039259,270974.262533531,216884.09333319,331080.098846121
15213,627.634651836333,28.0027362066776,130031,572.749786519162,682.519517153503,393925.256185714,328042.317957745,465832.891295451
15214,494.597715648765,27.9990840331533,130031,439.720008526797,549.475422770732,244626.900324976,193353.685898806,301923.240229075
15215,590.884044567418,27.9995714636718,130031,536.005382090296,645.76270704454,349143.95412435,287301.769629765,417009.473809492
15216,552.143199007921,27.9864398709713,130031,497.290274219126,606.996123796717,304862.112210701,247297.616832933,368444.294304239
15217,666.198967685281,27.9813464197782,130031,611.356025970306,721.041909400255,443821.064544934,373756.190490205,519901.435111566
15218,553.123805723674,28.0005232616533,130031,498.243277739423,608.004333707924,305945.94445824,248246.363812524,369669.269807617
15219,525.16156028277,28.0871450520228,130031,470.111255128786,580.211865436754,275794.664398633,221004.592198763,336645.808793598
15220,515.044708768317,27.9905991900906,130031,460.183631787965,569.905785748669,265271.05203024,211768.974965561,324792.604629808
15221,491.787963951874,27.9711917405914,130031,436.964925227642,546.611002676105,241855.401487929,190938.345879199,298783.588246577
15222,635.672340731674,28.3885423725621,130031,580.031302185687,691.313379277662,404079.324771286,336436.311515224,477914.188368301
15223,529.990887375808,28.038033770641,130031,475.036839460556,584.94493529106,280890.340701397,225659.998844674,342160.577322663
15224,616.430077041463,28.0430100753845,130031,561.46627565735,671.393878425576,379986.039881344,315244.378700535,450769.739987338
15226,526.416096888414,27.9942525466008,130031,471.547859394228,581.284334382601,277113.907063233,222357.383699278,337891.477398624
15227,508.765234729233,27.9682966063787,130031,453.947870416608,563.582599041858,258842.064069091,206068.669055773,317625.345942776
15228,607.223252282303,27.9957668827095,130031,552.352046716255,662.094457848351,368720.078112297,305092.783511636,438369.071113502
15229,554.672485492651,27.9906240247819,130031,499.811359836746,609.533611148557,307661.566162596,249811.395421857,371531.223119801
15232,710.948034206057,28.0595242640275,130031,655.951865305684,765.94420310643,505447.107341457,430272.849598006,586670.522272345
15233,554.73630009838,28.3071172527154,130031,499.254853340253,610.217746856506,307732.362646839,249255.408583797,372365.698578631
15234,532.910225372405,27.9911089573411,130031,478.048149257301,587.772301487509,283993.308306468,228530.033008331,345476.278395923
15235,454.429517165401,27.9585252392737,130031,399.631304558651,509.227729772151,206506.186071179,159705.179583249,259312.880768899
15236,525.363840656823,27.9633632697839,130031,470.556145596251,580.171535717395,276007.165069688,221423.086158401,336599.01085668
15237,547.604467708713,27.9511952325188,130031,492.820621784938,602.388313632488,299870.653054543,242872.165256493,362871.680400993
15238,581.402653112772,27.9791386834666,130031,526.564038521734,636.241267703811,338029.04504657,277269.686664318,404802.950729352
15239,502.208118742258,27.9848156130996,130031,447.358377470026,557.057860014491,252212.994530638,200129.517892614,310313.459403924
15241,546.106324039165,27.9807032214041,130031,491.264642981573,600.948005096757,298232.117155569,241340.949443812,361138.504829772
15243,573.850948432466,27.9985405538907,130031,518.974306520194,628.727590344737,329304.91101684,269334.330828117,395298.3828607
