"PROPERTYZIP.x","emmean","SE","df","lower.CL","upper.CL"
15201,12.6693298537356,0.461064927865969,140633,11.7656514230328,13.5730082844383
15202,12.2537618934116,0.460907655232543,140633,11.350391714059,13.1571320727641
15203,12.7021562594481,0.461388786085894,140633,11.7978430728351,13.6064694460611
15204,11.5600565489746,0.461276324014957,140633,10.6559637858674,12.4641493120818
15205,12.1541811182203,0.460849739285907,140633,11.2509244530143,13.0574377834263
15206,12.3658565015094,0.460946138268357,140633,11.4624108961435,13.2693021068753
15207,11.9593987970722,0.46113302962395,140633,11.0555868882277,12.8632107059167
15208,11.84432701586,0.461499635283345,140633,10.9397965669424,12.7488574647776
15209,12.0989693095786,0.461096719662528,140633,11.1952285675633,13.0027100515939
15210,11.5524711506413,0.460847489824114,140633,10.6492188943373,12.4557234069453
15211,12.21574789405,0.461203672033487,140633,11.3117975274354,13.1196982606646
15212,11.9948921030195,0.460806498690023,140633,11.0917201885535,12.8980640174855
15213,12.6103577010071,0.461241682610057,140633,11.7063328343902,13.514382567624
15214,11.8988733914623,0.461054233848891,140633,10.9952159208282,12.8025308620963
15215,12.4236275255233,0.461091876968897,140633,11.5198962750948,13.3273587759518
15216,12.3012332471949,0.460903391280306,140633,11.3978714251072,13.2045950692827
15217,12.8405835055807,0.460928962738592,140633,11.9371715639243,13.7439954472371
15218,12.294787432661,0.46095164442079,140633,11.3913310353418,13.1982438299803
15219,11.9883168878582,0.461484101780004,140633,11.0838168843097,12.8928168914066
15220,12.0015739878686,0.460967415354766,140633,11.0980866798208,12.9050612959165
15221,11.8090375516994,0.460718378100756,140633,10.9060383519012,12.7120367514977
15222,12.6486305251752,0.465527502979566,140633,11.7362055326938,13.5610555176566
15223,12.2160716727128,0.46155550048183,140633,11.3114317290758,13.1207116163498
15224,12.6267725966883,0.461449892213118,140633,11.722339643236,13.5312055501407
15226,12.2484206125567,0.460997694142706,140633,11.3448739586642,13.1519672664492
15227,12.0892820499201,0.460739002629451,140633,11.1862424264405,12.9923216733997
15228,12.5627960187604,0.461037510701918,140633,11.6591713251742,13.4664207123465
15229,12.3869507859187,0.460989144714729,140633,11.4834208887413,13.290480683096
15232,12.9382824291806,0.46160365176039,140633,12.0335481099596,13.8430167484016
15233,12.1538900229657,0.463829615268036,140633,11.2447928578897,13.0629871880416
15234,12.2137892656232,0.460954074668559,140633,11.3103281050649,13.1172504261815
15235,11.6758589607613,0.460570163458846,140633,10.7731502588233,12.5785676626992
15236,12.148616143378,0.460702849580791,140633,11.2456473791815,13.0515849075744
15237,12.2080441010155,0.460557979326687,140633,11.3053592797433,13.1107289222877
15238,12.1871298568951,0.46083818424716,140633,11.2838958393438,13.0903638744465
15239,12.0017872580447,0.460907954869453,140633,11.0984164914096,12.9051580246799
15241,12.1489456812672,0.460924665859901,140633,11.2455421614108,13.0523492011237
15243,12.3646964885184,0.461043649256174,140633,11.4610597634834,13.2683332135534
