ZIP,num_arrests,zip_area,arrest_density,POPULATION,crime_rate_per_1000,avg_rank,avg_price
15201,1017,12786939.752413526,7.953427635475032e-05,13275,76.61016949152543,94.0,398303.867113928
15202,32,23624341.711320616,1.3545350973595946e-06,19642,1.6291619997963547,426.6,283025.479374629
15203,3776,7734287.805875333,0.0004882156049496,10713,352.4689629422197,,381118.714796806
15204,1549,8865625.748115376,0.000174719759666,7809,198.36086566781918,410.5,210554.576814768
15205,725,61824266.81747618,1.1726786864135694e-05,24123,30.054305020105293,179.5,268760.004469739
15206,4555,22320128.426958103,0.0002040758867004,29176,156.1214697011242,317.0,360451.255545862
15207,1793,22224059.00940432,8.06783314983674e-05,10751,166.77518370384152,463.6666666666667,265246.464068206
15208,4567,6661036.38221046,0.0006856290429815,9500,480.7368421052632,627.0,351267.552650414
15209,2,21764624.635253064,9.189223492329463e-08,11769,0.1699379726399864,239.0,282906.219803775
15210,5611,20949228.07374517,0.0002678380310839,25017,224.28748451053283,253.0,214526.698814666
15211,1260,6966054.240657566,0.0001808771445743,10733,117.39495015373149,,327299.517658128
15212,9122,28224367.10856152,0.000323195909581,14751,618.3987526269406,336.3333333333333,270974.262533531
15212,9122,28224367.10856152,0.000323195909581,27600,330.5072463768116,336.3333333333333,270974.262533531
15213,1639,12263461.404967926,0.0001336490527328,29839,54.928114212942795,,393925.256185714
15215,70,26997929.86383984,2.592791386340912e-06,12234,5.7217590322053296,94.0,349143.95412435
15216,1157,15315456.231671566,7.554459903110064e-05,21503,53.806445612240154,185.0,304862.112210701
15217,1243,17769040.50041831,6.995312999431444e-05,26200,47.44274809160305,562.0,443821.064544934
15218,33,11100124.010648925,2.972939758901918e-06,13443,2.454809194376255,575.5,305945.94445824
15219,5057,12293778.296143211,0.0004113462825001,11010,459.30971843778383,,275794.664398633
15220,1124,22099388.504449755,5.086113580806457e-05,18519,60.694421945029426,179.5,265271.05203024
15221,1587,26670392.333171908,5.950418652170079e-05,29513,53.77291363128113,608.0,241855.401487929
15222,3466,5210395.232286956,0.0006652086541386,5649,613.559922110108,181.0,404079.324771286
15223,2,9362105.266890842,2.1362716429530178e-07,6656,0.3004807692307693,94.0,280890.340701397
15224,1269,4454491.630797423,0.0002848809932038,10516,120.6732597945987,,379986.039881344
15226,1478,11419202.286086924,0.0001294311076178,13943,106.0030122642186,138.0,277113.907063233
15227,468,26903794.412083637,1.7395315799387815e-05,29057,16.106273875486114,426.6666666666667,258842.064069091
15228,1,13532492.407669256,7.38962173319433e-08,18187,0.05498432946610216,112.4,368720.078112297
15232,735,3727377.2852903847,0.000197189590359,11370,64.64379947229551,,505447.107341457
15233,861,7516325.118776794,0.0001145506595835,2918,295.06511309115837,677.0,307732.362646839
15234,158,15048745.20741672,1.0499214241605358e-05,14330,11.025819958129796,137.75,283993.308306468
15235,118,63347849.3450782,1.862730956456188e-06,33811,3.4899884652923605,454.25,206506.186071179
15236,9,51914682.73171861,1.7336135995494046e-07,31152,0.2889060092449923,245.14285714285714,276007.165069688
15237,10,107398695.0808342,9.31110009527904e-08,44161,0.22644414755100653,142.0,299870.653054543
15238,278,79702855.9007358,3.4879553167609088e-06,13000,21.384615384615383,286.6666666666667,338029.04504657
15241,34,44524703.91303547,7.636210241040108e-07,21941,1.5496103185816508,137.0,298232.117155569
