ZIP,num_arrests,zip_area,arrest_density,POPULATION,crime_rate_per_1000,avg_rank,avg_price,adjusted_price,lower_ci,upper_ci
15201,1017,12786939.752413526,7.953427635475032e-05,13275,76.61016949152543,94.0,470414.451826144,470414.451826144,396727.220029393,550374.760074485
15202,32,23624341.711320616,1.3545350973595946e-06,19642,1.629161999796355,426.6,341738.296549267,341738.296549267,279448.519865615,410289.988444316
15203,3776,7734287.805875333,0.0004882156049496,10713,352.4689629422197,,451491.560943555,451491.560943555,379307.455074859,529959.27569304
15204,1549,8865625.748115376,0.000174719759666,7809,198.3608656678192,410.5,261465.661267994,261465.661267994,207295.725483051,321916.499147137
15205,725,61824266.81747618,1.1726786864135694e-05,24123,30.054305020105293,179.5,327037.777743104,327037.777743104,266175.901603223,394160.411800409
15206,4555,22320128.426958103,0.0002040758867004,29176,156.1214697011242,317.0,424726.673308785,424726.673308785,354903.108699991,500816.219436641
15207,1793,22224059.00940432,8.06783314983674e-05,10751,166.77518370384152,463.6666666666667,321842.825845198,321842.825845198,261430.25844516,388529.503112612
15208,4567,6661036.38221046,0.0006856290429815,9500,480.7368421052632,627.0,401623.580253954,401623.580253954,333654.73618549,475888.91793367
15209,2,21764624.635253064,9.189223492329465e-08,11769,0.1699379726399864,239.0,341171.971289536,341171.971289536,278892.934636204,409722.142061392
15210,5611,20949228.07374517,0.0002678380310839,25017,224.28748451053283,253.0,264461.636475589,264461.636475589,210045.325253677,325139.047129418
15211,1260,6966054.240657566,0.0001808771445743,10733,117.39495015373149,,393415.49083671,393415.49083671,326277.600089736,466830.148558133
15212,9122,28224367.10856152,0.000323195909581,14751,618.3987526269406,336.3333333333333,326502.175889299,326502.175889299,265690.877850338,393574.632298496
15212,9122,28224367.10856152,0.000323195909581,27600,330.5072463768116,336.3333333333333,326502.175889299,326502.175889299,265690.877850338,393574.632298496
15213,1639,12263461.404967926,0.0001336490527328,29839,54.9281142129428,,467707.717037346,467707.717037346,394230.24298844,547460.33361028
15215,70,26997929.86383984,2.592791386340912e-06,12234,5.7217590322053296,94.0,416084.431174426,416084.431174426,346983.344505231,491455.982951086
15216,1157,15315456.231671566,7.554459903110064e-05,21503,53.80644561224016,185.0,367371.939005544,367371.939005544,302665.853711554,438341.379777613
15217,1243,17769040.50041831,6.995312999431444e-05,26200,47.44274809160305,562.0,523312.609373419,523312.609373419,445476.408130414,607412.592363269
15218,33,11100124.010648925,2.972939758901918e-06,13443,2.454809194376255,575.5,367563.921975756,367563.921975756,302815.623321088,438580.558054606
15219,5057,12293778.296143211,0.0004113462825001,11010,459.30971843778383,,327603.998148591,327603.998148591,266576.089325587,394916.668597243
15220,1124,22099388.504449755,5.086113580806457e-05,18519,60.69442194502943,179.5,321157.042200016,321157.042200016,260847.824772713,387732.561765453
15221,1587,26670392.333171908,5.950418652170079e-05,29513,53.77291363128113,608.0,294483.378054689,294483.378054689,236903.36952441,358321.064312406
15222,3466,5210395.232286956,0.0006652086541386,5649,613.559922110108,181.0,488317.230446597,488317.230446597,412214.085775527,570863.312063254
15223,2,9362105.266890842,2.1362716429530178e-07,6656,0.3004807692307693,94.0,340638.176163652,340638.176163652,278327.340428271,409237.774811411
15224,1269,4454491.630797423,0.0002848809932038,10516,120.6732597945987,,450581.918241378,450581.918241378,378445.941222361,529006.569370063
15226,1478,11419202.286086924,0.0001294311076178,13943,106.0030122642186,138.0,335969.758673513,335969.758673513,274209.837090356,403996.86345456
15227,468,26903794.41208364,1.7395315799387815e-05,29057,16.106273875486114,426.6666666666667,315146.497713201,315146.497713201,255480.150631786,381068.874831682
15228,1,13532492.407669256,7.38962173319433e-08,18187,0.0549843294661021,112.4,437859.287851088,437859.287851088,366910.30275466,515075.380582565
15232,735,3727377.2852903847,0.000197189590359,11370,64.64379947229551,,594204.748175232,594204.748175232,510850.54871259,683855.314567911
15233,861,7516325.118776794,0.0001145506595835,2918,295.0651130911584,677.0,362852.39260364,362852.39260364,297898.741452678,434206.666580653
15234,158,15048745.20741672,1.0499214241605358e-05,14330,11.025819958129796,137.75,344177.359540252,344177.359540252,281634.890865384,412985.886858324
15235,118,63347849.3450782,1.862730956456188e-06,33811,3.4899884652923605,454.25,256310.682393854,256310.682393854,202828.133521948,316044.395835083
15236,9,51914682.73171861,1.7336135995494046e-07,31152,0.2889060092449923,245.14285714285717,334180.950283881,334180.950283881,272654.240892876,401961.935986998
15237,10,107398695.0808342,9.31110009527904e-08,44161,0.2264441475510065,142.0,360659.48574395,360659.48574395,296652.961334897,430913.561312347
15238,278,79702855.9007358,3.4879553167609088e-06,13000,21.384615384615383,286.6666666666667,402314.065438732,402314.065438732,334495.734096823,476387.890217947
15241,34,44524703.91303547,7.636210241040108e-07,21941,1.5496103185816508,137.0,359103.99990615,359103.99990615,295180.858290607,429287.359168384
